antecedents,consequents,support,confidence
"('Java: The Complete Reference',)","('Java For Dummies',)",0.5,1.0
"('A Beginner’s Guide', 'Java: The Complete Reference')","('Java For Dummies',)",0.45,1.0
"('A Beginner’s Guide', 'Java For Dummies')","('Java: The Complete Reference',)",0.45,1.0
"('Android Programming: The Big Nerd Ranch', 'Java: The Complete Reference')","('Java For Dummies',)",0.3,1.0
"('Java: The Complete Reference',)","('A Beginner’s Guide',)",0.45,0.9
"('Java For Dummies', 'Java: The Complete Reference')","('A Beginner’s Guide',)",0.45,0.9
"('Java: The Complete Reference',)","('A Beginner’s Guide', 'Java For Dummies')",0.45,0.9
"('A Beginner’s Guide',)","('Java For Dummies',)",0.45,0.8181818181818181
"('A Beginner’s Guide',)","('Java: The Complete Reference',)",0.45,0.8181818181818181
"('A Beginner’s Guide',)","('Java For Dummies', 'Java: The Complete Reference')",0.45,0.8181818181818181
"('Java For Dummies',)","('Java: The Complete Reference',)",0.5,0.7692307692307692
"('Head First Java 2nd Edition',)","('Android Programming: The Big Nerd Ranch',)",0.3,0.7499999999999999
"('Java For Dummies',)","('A Beginner’s Guide',)",0.45,0.6923076923076923
"('Java For Dummies',)","('Android Programming: The Big Nerd Ranch',)",0.45,0.6923076923076923
"('Android Programming: The Big Nerd Ranch',)","('Java For Dummies',)",0.45,0.6923076923076923
"('Java For Dummies',)","('A Beginner’s Guide', 'Java: The Complete Reference')",0.45,0.6923076923076923
"('Android Programming: The Big Nerd Ranch', 'Java For Dummies')","('Java: The Complete Reference',)",0.3,0.6666666666666666
"('Java: The Complete Reference',)","('Android Programming: The Big Nerd Ranch',)",0.3,0.6
"('Java For Dummies', 'Java: The Complete Reference')","('Android Programming: The Big Nerd Ranch',)",0.3,0.6
"('Java: The Complete Reference',)","('Android Programming: The Big Nerd Ranch', 'Java For Dummies')",0.3,0.6
