itemset,support
"('Android Programming: The Big Nerd Ranch',)",0.65
"('Java For Dummies',)",0.65
"('A Beginner’s Guide',)",0.55
"('Java: The Complete Reference',)",0.5
"('Java For Dummies', 'Java: The Complete Reference')",0.5
"('A Beginner’s Guide', 'Java For Dummies')",0.45
"('A Beginner’s Guide', 'Java: The Complete Reference')",0.45
"('Android Programming: The Big Nerd Ranch', 'Java For Dummies')",0.45
"('A Beginner’s Guide', 'Java For Dummies', 'Java: The Complete Reference')",0.45
"('Head First Java 2nd Edition',)",0.4
"('Beginning Programming with Java',)",0.3
"('A Beginner’s Guide', 'Android Programming: The Big Nerd Ranch')",0.3
"('Android Programming: The Big Nerd Ranch', 'Head First Java 2nd Edition')",0.3
"('Android Programming: The Big Nerd Ranch', 'Java: The Complete Reference')",0.3
"('Android Programming: The Big Nerd Ranch', 'Java For Dummies', 'Java: The Complete Reference')",0.3
