antecedents,consequents,support,confidence
"('E',)","('A',)",0.75,1.0
"('C',)","('A',)",0.6,1.0
"('B',)","('A',)",0.5,1.0
"('C', 'E')","('A',)",0.4,1.0
"('B', 'C')","('A',)",0.35,1.0
"('D',)","('A',)",0.3,1.0
"('B', 'E')","('A',)",0.25,1.0
"('A',)","('E',)",0.75,0.75
"('A', 'B')","('C',)",0.35,0.7
"('B',)","('A', 'C')",0.35,0.7
"('B',)","('C',)",0.35,0.7
"('A', 'C')","('E',)",0.4,0.6666666666666667
"('C',)","('A', 'E')",0.4,0.6666666666666667
"('C',)","('E',)",0.4,0.6666666666666667
"('A',)","('C',)",0.6,0.6
