antecedent,consequent,support,confidence
"('Dry Fit V-Nick',)","('Rash Guard',)",0.5,1.0
"('Modern Pants',)","('Sweatshirts',)",0.5,1.0
"('Dry Fit V-Nick', 'Swimming Shirt')","('Rash Guard',)",0.45,1.0
"('Modern Pants', 'Running Shoe')","('Sweatshirts',)",0.45,1.0
"('Modern Pants', 'Socks')","('Sweatshirts',)",0.45,1.0
"('Tech Pants',)","('Rash Guard',)",0.45,1.0
"('Dry Fit V-Nick', 'Tech Pants')","('Rash Guard',)",0.4,1.0
"('Hoodies',)","('Rash Guard',)",0.4,1.0
"('Hoodies',)","('Tech Pants',)",0.4,1.0
"('Hoodies',)","('Rash Guard', 'Tech Pants')",0.4,1.0
"('Hoodies', 'Rash Guard')","('Tech Pants',)",0.4,1.0
"('Hoodies', 'Tech Pants')","('Rash Guard',)",0.4,1.0
"('Modern Pants', 'Running Shoe', 'Socks')","('Sweatshirts',)",0.4,1.0
"('Dry Fit V-Nick', 'Hoodies')","('Rash Guard',)",0.35,1.0
"('Dry Fit V-Nick', 'Hoodies')","('Tech Pants',)",0.35,1.0
"('Dry Fit V-Nick', 'Hoodies')","('Rash Guard', 'Tech Pants')",0.35,1.0
"('Dry Fit V-Nick', 'Hoodies', 'Rash Guard')","('Tech Pants',)",0.35,1.0
"('Dry Fit V-Nick', 'Hoodies', 'Tech Pants')","('Rash Guard',)",0.35,1.0
"('Dry Fit V-Nick', 'Swimming Shirt', 'Tech Pants')","('Rash Guard',)",0.35,1.0
"('Rash Guard', 'Swimming Shirt', 'Tech Pants')","('Dry Fit V-Nick',)",0.35,1.0
"('Swimming Shirt', 'Tech Pants')","('Dry Fit V-Nick',)",0.35,1.0
"('Swimming Shirt', 'Tech Pants')","('Rash Guard',)",0.35,1.0
"('Swimming Shirt', 'Tech Pants')","('Dry Fit V-Nick', 'Rash Guard')",0.35,1.0
"('Dry Fit V-Nick', 'Hoodies', 'Rash Guard', 'Swimming Shirt')","('Tech Pants',)",0.3,1.0
"('Dry Fit V-Nick', 'Hoodies', 'Swimming Shirt')","('Rash Guard',)",0.3,1.0
"('Dry Fit V-Nick', 'Hoodies', 'Swimming Shirt')","('Tech Pants',)",0.3,1.0
"('Dry Fit V-Nick', 'Hoodies', 'Swimming Shirt')","('Rash Guard', 'Tech Pants')",0.3,1.0
"('Dry Fit V-Nick', 'Hoodies', 'Swimming Shirt', 'Tech Pants')","('Rash Guard',)",0.3,1.0
"('Hoodies', 'Rash Guard', 'Swimming Shirt')","('Dry Fit V-Nick',)",0.3,1.0
"('Hoodies', 'Rash Guard', 'Swimming Shirt')","('Tech Pants',)",0.3,1.0
"('Hoodies', 'Rash Guard', 'Swimming Shirt')","('Dry Fit V-Nick', 'Tech Pants')",0.3,1.0
"('Hoodies', 'Rash Guard', 'Swimming Shirt', 'Tech Pants')","('Dry Fit V-Nick',)",0.3,1.0
"('Hoodies', 'Swimming Shirt')","('Dry Fit V-Nick',)",0.3,1.0
"('Hoodies', 'Swimming Shirt')","('Rash Guard',)",0.3,1.0
"('Hoodies', 'Swimming Shirt')","('Tech Pants',)",0.3,1.0
"('Hoodies', 'Swimming Shirt')","('Dry Fit V-Nick', 'Rash Guard')",0.3,1.0
"('Hoodies', 'Swimming Shirt')","('Dry Fit V-Nick', 'Tech Pants')",0.3,1.0
"('Hoodies', 'Swimming Shirt')","('Rash Guard', 'Tech Pants')",0.3,1.0
"('Hoodies', 'Swimming Shirt')","('Dry Fit V-Nick', 'Rash Guard', 'Tech Pants')",0.3,1.0
"('Hoodies', 'Swimming Shirt', 'Tech Pants')","('Dry Fit V-Nick',)",0.3,1.0
"('Hoodies', 'Swimming Shirt', 'Tech Pants')","('Rash Guard',)",0.3,1.0
"('Hoodies', 'Swimming Shirt', 'Tech Pants')","('Dry Fit V-Nick', 'Rash Guard')",0.3,1.0
"('Modern Pants', 'Rash Guard')","('Socks',)",0.3,1.0
"('Modern Pants', 'Rash Guard')","('Sweatshirts',)",0.3,1.0
"('Modern Pants', 'Rash Guard')","('Tech Pants',)",0.3,1.0
"('Modern Pants', 'Rash Guard')","('Socks', 'Sweatshirts')",0.3,1.0
"('Modern Pants', 'Rash Guard')","('Socks', 'Tech Pants')",0.3,1.0
"('Modern Pants', 'Rash Guard')","('Sweatshirts', 'Tech Pants')",0.3,1.0
