itemset,support
"('Dry Fit V-Nick',)",0.5
"('Hoodies',)",0.4
"('Modern Pants',)",0.5
"('Rash Guard',)",0.6
"('Running Shoe',)",0.7
"('Soccer Shoe',)",0.3
"('Socks',)",0.65
"('Sweatshirts',)",0.65
"('Swimming Shirt',)",0.55
"('Tech Pants',)",0.45
"('Hoodies', 'Dry Fit V-Nick')",0.35
"('Modern Pants', 'Dry Fit V-Nick')",0.25
"('Rash Guard', 'Dry Fit V-Nick')",0.5
"('Running Shoe', 'Dry Fit V-Nick')",0.25
"('Soccer Shoe', 'Dry Fit V-Nick')",0.25
"('Socks', 'Dry Fit V-Nick')",0.25
"('Sweatshirts', 'Dry Fit V-Nick')",0.25
"('Swimming Shirt', 'Dry Fit V-Nick')",0.45
"('Tech Pants', 'Dry Fit V-Nick')",0.4
"('Hoodies', 'Modern Pants')",0.25
"('Hoodies', 'Rash Guard')",0.4
"('Hoodies', 'Running Shoe')",0.25
"('Hoodies', 'Soccer Shoe')",0.25
"('Hoodies', 'Socks')",0.25
"('Hoodies', 'Sweatshirts')",0.25
"('Hoodies', 'Swimming Shirt')",0.3
"('Hoodies', 'Tech Pants')",0.4
"('Modern Pants', 'Rash Guard')",0.3
"('Modern Pants', 'Running Shoe')",0.45
"('Soccer Shoe', 'Modern Pants')",0.25
"('Modern Pants', 'Socks')",0.45
"('Modern Pants', 'Sweatshirts')",0.5
"('Tech Pants', 'Modern Pants')",0.3
"('Rash Guard', 'Running Shoe')",0.35
"('Soccer Shoe', 'Rash Guard')",0.25
"('Socks', 'Rash Guard')",0.3
"('Sweatshirts', 'Rash Guard')",0.3
"('Swimming Shirt', 'Rash Guard')",0.5
"('Tech Pants', 'Rash Guard')",0.45
"('Socks', 'Running Shoe')",0.55
"('Sweatshirts', 'Running Shoe')",0.55
"('Swimming Shirt', 'Running Shoe')",0.3
"('Tech Pants', 'Running Shoe')",0.3
"('Soccer Shoe', 'Socks')",0.25
"('Soccer Shoe', 'Sweatshirts')",0.25
"('Soccer Shoe', 'Tech Pants')",0.25
"('Socks', 'Sweatshirts')",0.6
"('Swimming Shirt', 'Socks')",0.25
"('Tech Pants', 'Socks')",0.3
"('Swimming Shirt', 'Sweatshirts')",0.25
"('Tech Pants', 'Sweatshirts')",0.3
"('Tech Pants', 'Swimming Shirt')",0.35
"('Hoodies', 'Rash Guard', 'Dry Fit V-Nick')",0.35
"('Hoodies', 'Soccer Shoe', 'Dry Fit V-Nick')",0.25
"('Hoodies', 'Swimming Shirt', 'Dry Fit V-Nick')",0.3
"('Hoodies', 'Tech Pants', 'Dry Fit V-Nick')",0.35
"('Modern Pants', 'Rash Guard', 'Dry Fit V-Nick')",0.25
"('Modern Pants', 'Socks', 'Dry Fit V-Nick')",0.25
"('Modern Pants', 'Sweatshirts', 'Dry Fit V-Nick')",0.25
"('Tech Pants', 'Modern Pants', 'Dry Fit V-Nick')",0.25
"('Running Shoe', 'Rash Guard', 'Dry Fit V-Nick')",0.25
"('Soccer Shoe', 'Rash Guard', 'Dry Fit V-Nick')",0.25
