itemset,support
"('Running Shoe',)",0.7
"('Sweatshirts',)",0.65
"('Socks',)",0.65
"('Socks', 'Sweatshirts')",0.6
"('Rash Guard',)",0.6
"('Running Shoe', 'Socks')",0.55
"('Swimming Shirt',)",0.55
"('Running Shoe', 'Sweatshirts')",0.55
"('Modern Pants',)",0.5
"('Dry Fit V-Nick',)",0.5
"('Running Shoe', 'Socks', 'Sweatshirts')",0.5
"('Modern Pants', 'Sweatshirts')",0.5
"('Rash Guard', 'Swimming Shirt')",0.5
"('Dry Fit V-Nick', 'Rash Guard')",0.5
"('Modern Pants', 'Socks', 'Sweatshirts')",0.45
"('Modern Pants', 'Running Shoe', 'Sweatshirts')",0.45
"('Modern Pants', 'Running Shoe')",0.45
"('Dry Fit V-Nick', 'Rash Guard', 'Swimming Shirt')",0.45
"('Rash Guard', 'Tech Pants')",0.45
"('Modern Pants', 'Socks')",0.45
"('Tech Pants',)",0.45
"('Dry Fit V-Nick', 'Swimming Shirt')",0.45
"('Hoodies', 'Tech Pants')",0.4
"('Dry Fit V-Nick', 'Tech Pants')",0.4
"('Dry Fit V-Nick', 'Rash Guard', 'Tech Pants')",0.4
"('Modern Pants', 'Running Shoe', 'Socks', 'Sweatshirts')",0.4
"('Hoodies',)",0.4
"('Modern Pants', 'Running Shoe', 'Socks')",0.4
"('Hoodies', 'Rash Guard')",0.4
"('Hoodies', 'Rash Guard', 'Tech Pants')",0.4
"('Swimming Shirt', 'Tech Pants')",0.35
"('Dry Fit V-Nick', 'Rash Guard', 'Swimming Shirt', 'Tech Pants')",0.35
"('Rash Guard', 'Swimming Shirt', 'Tech Pants')",0.35
"('Dry Fit V-Nick', 'Hoodies', 'Rash Guard')",0.35
"('Dry Fit V-Nick', 'Hoodies')",0.35
"('Dry Fit V-Nick', 'Swimming Shirt', 'Tech Pants')",0.35
"('Rash Guard', 'Running Shoe')",0.35
"('Dry Fit V-Nick', 'Hoodies', 'Tech Pants')",0.35
"('Dry Fit V-Nick', 'Hoodies', 'Rash Guard', 'Tech Pants')",0.35
"('Modern Pants', 'Rash Guard', 'Sweatshirts', 'Tech Pants')",0.3
"('Modern Pants', 'Rash Guard', 'Socks', 'Tech Pants')",0.3
"('Rash Guard', 'Socks', 'Sweatshirts', 'Tech Pants')",0.3
"('Rash Guard', 'Sweatshirts', 'Tech Pants')",0.3
"('Socks', 'Sweatshirts', 'Tech Pants')",0.3
"('Modern Pants', 'Sweatshirts', 'Tech Pants')",0.3
"('Rash Guard', 'Socks', 'Sweatshirts')",0.3
"('Modern Pants', 'Tech Pants')",0.3
"('Running Shoe', 'Tech Pants')",0.3
"('Socks', 'Tech Pants')",0.3
"('Rash Guard', 'Sweatshirts')",0.3
"('Modern Pants', 'Rash Guard', 'Tech Pants')",0.3
"('Modern Pants', 'Socks', 'Tech Pants')",0.3
